"","NAME2","ISLAND","date","mean_Kd490_ESA_OC_CCI_8Day_SPAN","q05_Kd490_ESA_OC_CCI_8Day_SPAN","q95_Kd490_ESA_OC_CCI_8Day_SPAN","sd_Kd490_ESA_OC_CCI_8Day_SPAN"
"95","KIPAHULU","Maui","2016",0.031975257024169,0.0278732653707266,0.0365225404500961,0.00330091963630444
"96","KIPAHULU","Maui","2019",0.0321571831294197,0.0280165461823344,0.0376710955053568,0.00319878057871451
"97","KAUPO","Maui","2013",0.031699255635233,0.0274119568057358,0.0361138144508004,0.00320119246225012
"98","KAUPO","Maui","2016",0.031924674084977,0.0276365117169917,0.036959707736969,0.00336213222623785
"99","KAUPO","Maui","2019",0.03182392293944,0.0281207174062729,0.0367902543395758,0.00304568293413938
"100","KAHIKINUI","Maui","2013",0.0306109787303616,0.0268195183947682,0.035210639052093,0.00298057152928441
"101","KAHIKINUI","Maui","2016",0.0309158104689831,0.0269655678421259,0.0357002221047878,0.00278695505495554
"102","KAHIKINUI","Maui","2019",0.0304688022253995,0.0276206908747554,0.0354630827903748,0.00266159451747547
"103","KOOLAU KAH","Kahoolawe","2013",0.0321485168988938,0.0285706641152501,0.0375500861555338,0.00297301297415175
"104","KOOLAU KAH","Kahoolawe","2016",0.0329502893889204,0.0292538229376078,0.0378914747387171,0.00384160637032315
"105","KOOLAU KAH","Kahoolawe","2019",0.0319933710580177,0.0286392683163285,0.0362964410334825,0.00250975116690864
"106","HONUAULA","Maui","2013",0.0332551645115018,0.0287772924639285,0.0391958178952336,0.00363678845272142
"107","HONUAULA","Maui","2016",0.033092723366745,0.0285050984472036,0.036923249438405,0.00307360539959589
"108","HONUAULA","Maui","2019",0.0319494509950597,0.0285776793956757,0.036831646412611,0.00272681648845335
"109","KONA KAH","Kahoolawe","2013",0.0311514512127773,0.0274432747624815,0.0350590370595455,0.00274326968953872
"110","KONA KAH","Kahoolawe","2016",0.0320380541713948,0.0274494407698512,0.0380649585276842,0.00389924109915423
"111","KONA KAH","Kahoolawe","2019",0.0312288189108701,0.0280656047165394,0.0351424966007471,0.00253700831727155
"112","HAMAKUA","Hawaii","2013",0.0336321146566082,0.0290336824022234,0.0372438566759229,0.00590119365639475
"113","HAMAKUA","Hawaii","2016",0.0365233135855068,0.0301581234671175,0.0440134620293975,0.0074423684389148
"114","HAMAKUA","Hawaii","2019",0.0348473319268607,0.0308513840660453,0.0414092160761356,0.00343839777841959
"115","KOHALA","Hawaii","2013",0.0332054959491212,0.0297186022624373,0.0371498882770538,0.00261347744082177
"116","KOHALA","Hawaii","2016",0.0342005878845428,0.0303057776764035,0.039625471457839,0.00397681168424946
"117","KOHALA","Hawaii","2019",0.0332663623576469,0.0295960232615471,0.038370356708765,0.00286704048336028
"118","HILO","Hawaii","2013",0.0412836715579033,0.0302789349108934,0.0499390430748463,0.0394552784200308
"119","HILO","Hawaii","2016",0.0378959221441461,0.0298232277855277,0.0511487610638142,0.00658595714033723
"120","HILO","Hawaii","2019",0.0373586240283986,0.032577096670866,0.0478698257356882,0.00473224819656357
"121","PUNA HAW","Hawaii","2013",0.0327020187497787,0.0281933778896928,0.0394939901307225,0.00639063370422469
"122","PUNA HAW","Hawaii","2016",0.0333447514220755,0.0285998437553644,0.0407029744237661,0.00414892878031486
"123","PUNA HAW","Hawaii","2019",0.0331670137399689,0.0293773051351309,0.0384020633995533,0.00314917991119162
"124","KONA HAW","Hawaii","2013",0.0347525513869651,0.0310817709192634,0.0379691801965237,0.00256252995767005
"125","KONA HAW","Hawaii","2016",0.0352380072024274,0.0323310870677233,0.0392384465783834,0.00257885776524074
"126","KONA HAW","Hawaii","2019",0.0334963489006808,0.0299842312932014,0.0380018759518862,0.00264124153330338
"127","KAU","Hawaii","2013",0.0308535790637783,0.0270997965708375,0.0343159520998597,0.0025089143233224
"128","KAU","Hawaii","2016",0.0314713980051431,0.0277571769431233,0.0362112630158663,0.00284863088727032
"129","KAU","Hawaii","2019",0.030774375106743,0.0276869371533394,0.0341318476945162,0.00226587220368082
